Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export (US$ Thousand),Export Partner Share (%)
 World,Aruba,2018,Export,2499,53.53,1215520.15,0.01
 World,Afghanistan,2018,Export,3215,68.87,8009256.62,0.04
 World,Angola,2018,Export,3917,83.91,10129363.73,0.05
 World,Anguila,2018,Export,1256,26.91,135840.55,0
 World,Albania,2018,Export,3854,82.56,5525570.04,0.03
 World,Andorra,2018,Export,2856,61.18,1562248.39,0.01
 World,Netherlands Antilles,2018,Export,,,,
 World,United Arab Emirates,2018,Export,4487,96.12,199686744.5,1.08
 World,Argentina,2018,Export,4226,90.53,59641491.15,0.32
 World,Armenia,2018,Export,3596,77.04,3552095.18,0.02
 World,American Samoa,2018,Export,1068,22.88,150331.6,0
 World,Antarctica,2018,Export,775,16.6,16972.26,0
 World,Fr. So. Ant. Tr,2018,Export,550,11.78,21907.58,0
 World,Antigua and Barbuda,2018,Export,2310,49.49,1069743.16,0.01
 World,Australia,2018,Export,4486,96.1,208567162.9,1.13
 World,Austria,2018,Export,4530,97.04,173200731.3,0.93
 World,Azerbaijan,2018,Export,3915,83.87,9723977.74,0.05
 World,Br. Antr. Terr,2018,Export,,,,
 World,Burundi,2018,Export,2233,47.84,415341.01,0
 World,Belgium,2018,Export,4551,97.49,385063221.8,2.08
 World,Benin,2018,Export,2820,60.41,5577170.35,0.03
 World,Bonaire,2018,Export,1378,29.52,299759.08,0
 World,Burkina Faso,2018,Export,2904,62.21,2802400.84,0.02
 World,Bangladesh,2018,Export,4163,89.18,56775636.55,0.31
 World,Bulgaria,2018,Export,4439,95.09,37357544.98,0.2
 World,Bahrain,2018,Export,3971,85.07,16797838.06,0.09
 World,"Bahamas, The",2018,Export,3156,67.61,10132725.85,0.05
 World,Bosnia and Herzegovina,2018,Export,4079,87.38,9404718.65,0.05
 World,Saint Barthélemy,2018,Export,1982,42.46,209672.35,0
 World,Belarus,2018,Export,4327,92.69,34542705.57,0.19
 World,Belize,2018,Export,2411,51.65,886143.28,0
 World,Bermuda,2018,Export,2377,50.92,1627478.45,0.01
 World,Bolivia,2018,Export,3709,79.46,7200364.65,0.04
 World,Brazil,2018,Export,4373,93.68,176701267.7,0.95
 World,Barbados,2018,Export,2907,62.28,1188074.83,0.01
 World,Brunei,2018,Export,3262,69.88,4580642.92,0.02
 World,Bhutan,2018,Export,2945,63.09,812182.52,0
 World,Bunkers,2018,Export,2996,64.18,35529720.99,0.19
 World,Bouvet Island,2018,Export,17,0.36,8162.61,0
 World,Botswana,2018,Export,3974,85.13,6444148.19,0.03
 World,Central African Republic,2018,Export,1715,36.74,246461.74,0
 World,Canada,2018,Export,4568,97.86,448771733.3,2.42
 World,Cocos (Keeling) Islands,2018,Export,239,5.12,7446.3,0
 World,Switzerland,2018,Export,4525,96.94,272182398.6,1.47
 World,Chile,2018,Export,4283,91.75,68664691.44,0.37
 World,China,2018,Export,4570,97.9,1680278563,9.07
 World,Cote d'Ivoire,2018,Export,3691,79.07,9922261.73,0.05
 World,Cameroon,2018,Export,3385,72.52,5889626.32,0.03
 World,"Congo, Rep.",2018,Export,3174,67.99,2482878.25,0.01
 World,Cook Islands,2018,Export,2191,46.94,156512.27,0
 World,Colombia,2018,Export,4274,91.56,48088540.09,0.26
